,fit_time,score_time,test_score,train_score
0,0.5105226039886475,0.03409123420715332,-95.84678131557449,-95.43983333253054
1,0.5316014289855957,0.03309011459350586,-95.72849727319372,-95.46931429231097
2,0.5330765247344971,0.03455305099487305,-95.62228350467464,-95.49579859719724
3,0.5206997394561768,0.03359031677246094,-95.11735665808928,-95.62211578768226
4,0.5231306552886963,0.032624006271362305,-95.75894930986628,-95.4616311153584
5,0.5330839157104492,0.03710293769836426,-95.33445559701843,-95.56785432905355
6,0.5772757530212402,0.03509521484375,-94.85499647639936,-95.68770191756892
7,0.5391407012939453,0.03610348701477051,-95.41523863428822,-95.54761776281663
8,0.5173985958099365,0.0351262092590332,-94.25960480013963,-95.83648978966605
9,0.5188665390014648,0.034116506576538086,-96.07982213398448,-95.38140314180525
